"","Date","Max","Min","GDDDaily","1E","1W","28W","26N","640","712"
"1","05/23/2022",62.1,32.8,6.05,6.05,6.05,NA,NA,NA,NA
"2","5/24/2022",66,41,8,14.05,14.05,8,8,NA,NA
"3","5/25/2022",64,49.8,7,21.05,21.05,15,15,NA,NA
"4","5/26/2022",73.6,57.8,15.7,36.75,36.75,30.7,30.7,NA,NA
"5","5/27/2022",67.8,53.1,10.45,47.2,47.2,41.15,41.15,NA,NA
"6","5/28/2022",75,49.8,12.5,59.7,59.7,53.65,53.65,NA,NA
"7","5/29/2022",83.1,60.1,21.6,81.3,81.3,75.25,75.25,NA,NA
"8","5/30/2022",90.1,66.9,26.45,107.75,107.75,101.7,101.7,NA,NA
"9","5/31/2022",83.1,69.1,26.1,133.85,133.85,127.8,127.8,26.1,NA
"10","6/1/2022",71.6,53.5,12.55,146.4,146.4,140.35,140.35,38.65,12.55
"11","6/2/2022",74.1,48.9,12.05,158.45,158.45,152.4,152.4,50.7,24.6
"12","6/3/2022",72.1,49.8,11.05,169.5,169.5,163.45,163.45,61.75,35.65
"13","6/4/2022",64,46.9,7,176.5,176.5,170.45,170.45,68.75,42.65
"14","6/5/2022",67.8,55,11.4,187.9,187.9,181.85,181.85,80.15,54.05
"15","6/6/2022",69.1,56.8,12.95,200.85,200.85,194.8,194.8,93.1,67
"16","6/7/2022",73,52.2,12.6,213.45,213.45,207.4,207.4,105.7,79.6
"17","6/8/2022",65.1,55,10.05,223.5,223.5,217.45,217.45,115.75,89.65
"18","6/9/2022",75,49.8,12.5,236,236,229.95,229.95,128.25,102.15
"19","6/10/2022",73,54.1,13.55,249.55,249.55,243.5,243.5,141.8,115.7
"20","6/11/2022",73,56.8,14.9,264.45,264.45,258.4,258.4,156.7,130.6
"21","6/12/2022",73,57.9,15.45,279.9,279.9,273.85,273.85,172.15,146.05
"22","6/13/2022",76.8,54.1,15.45,295.35,295.35,289.3,289.3,187.6,161.5
"23","6/14/2022",95,66.9,26.45,321.8,321.8,315.75,315.75,214.05,187.95
"24","6/15/2022",90.1,73,29.5,351.3,351.3,345.25,345.25,243.55,217.45
"25","6/16/2022",84.9,61,22.95,374.25,374.25,368.2,368.2,266.5,240.4
"26","6/17/2022",79.9,60.1,20,394.25,394.25,388.2,388.2,286.5,260.4
"27","6/18/2022",75,49.8,12.5,406.75,406.75,400.7,400.7,299,272.9
"28","6/19/2022",82,48.9,16,422.75,422.75,416.7,416.7,315,288.9
"29","6/20/2022",92.1,63.1,24.55,447.3,447.3,441.25,441.25,339.55,313.45
"30","6/21/2022",95.9,72.1,29.05,476.35,476.35,470.3,470.3,368.6,342.5
"31","6/22/2022",83.1,66,24.55,500.9,500.9,494.85,494.85,393.15,367.05
"32","6/23/2022",84.9,58.8,21.85,522.75,522.75,516.7,516.7,415,388.9
"33","6/24/2022",90.1,65.1,25.55,548.3,548.3,542.25,542.25,440.55,414.45
"34","6/25/2022",79,66,22.5,570.8,570.8,564.75,564.75,463.05,436.95
"35","6/26/2022",72.1,58.8,15.45,586.25,586.25,580.2,580.2,478.5,452.4
"36","6/27/2022",75,51.1,13.05,599.3,599.3,593.25,593.25,491.55,465.45
"37","6/28/2022",82,55.9,18.95,618.25,618.25,612.2,612.2,510.5,484.4
"38","6/29/2022",84.9,57.9,21.4,639.65,639.65,633.6,633.6,531.9,505.8
"39","6/30/2022",88,66,26,665.65,665.65,659.6,659.6,557.9,531.8
"40","7/1/2022",79.9,66,22.95,688.6,688.6,682.55,682.55,580.85,554.75
"41","7/2/2022",82,57.9,19.95,708.55,708.55,702.5,702.5,600.8,574.7
"42","7/3/2022",84.6,53,18.8,727.35,727.35,721.3,721.3,619.6,593.5
"43","7/4/2022",81.1,63.1,22.1,749.45,749.45,743.4,743.4,641.7,615.6
"44","7/5/2022",90.1,70,28,777.45,777.45,771.4,771.4,669.7,643.6
"45","7/6/2022",75.9,66,20.95,798.4,798.4,792.35,792.35,690.65,664.55
"46","7/7/2022",82,61.9,21.95,820.35,820.35,814.3,814.3,712.6,686.5
"47","7/8/2022",75.9,67.8,21.85,842.2,842.2,836.15,836.15,734.45,708.35
"48","7/9/2022",78.1,55,16.55,858.75,858.75,852.7,852.7,751,724.9
"49","7/10/2022",79.9,54.1,17,875.75,875.75,869.7,869.7,768,741.9
"50","7/11/2022",83.1,66.9,25,900.75,900.75,894.7,894.7,793,766.9
"51","7/12/2022",81.1,61,21.05,921.8,921.8,915.75,915.75,814.05,787.95
"52","7/13/2022",76.8,60.1,18.45,940.25,940.25,934.2,934.2,832.5,806.4
"53","7/14/2022",79,54.1,16.55,956.8,956.8,950.75,950.75,849.05,822.95
"54","7/15/2022",74.1,60.1,17.1,973.9,973.9,967.85,967.85,866.15,840.05
"55","7/16/2022",81.1,61.9,21.5,995.4,995.4,989.35,989.35,887.65,861.55
"56","7/17/2022",83.1,61,22.05,1017.45,1017.45,1011.4,1011.4,909.7,883.6
"57","7/18/2022",88.9,63.1,24.55,1042,1042,1035.95,1035.95,934.25,908.15
"58","7/19/2022",88,67.8,26.9,1068.9,1068.9,1062.85,1062.85,961.15,935.05
"59","7/20/2022",83.1,70,26.55,1095.45,1095.45,1089.4,1089.4,987.7,961.6
"60","7/21/2022",87.1,64,25,1120.45,1120.45,1114.4,1114.4,1012.7,986.6
"61","7/22/2022",85.8,60.1,22.95,1143.4,1143.4,1137.35,1137.35,1035.65,1009.55
"62","7/23/2022",88.9,66,26,1169.4,1169.4,1163.35,1163.35,1061.65,1035.55
"63","7/24/2022",79,67.8,23.4,1192.8,1192.8,1186.75,1186.75,1085.05,1058.95
"64","7/25/2022",75.9,55,15.45,1208.25,1208.25,1202.2,1202.2,1100.5,1074.4
"65","7/26/2022",79.9,57.9,18.9,1227.15,1227.15,1221.1,1221.1,1119.4,1093.3
"66","7/27/2022",81.1,65.1,23.1,1250.25,1250.25,1244.2,1244.2,1142.5,1116.4
"67","7/28/2022",75.9,61.9,18.9,1269.15,1269.15,1263.1,1263.1,1161.4,1135.3
"68","7/29/2022",76.8,55.9,16.35,1285.5,1285.5,1279.45,1279.45,1177.75,1151.65
"69","7/30/2022",79.9,56.8,18.35,1303.85,1303.85,1297.8,1297.8,1196.1,1170
"70","7/31/2022",84,58.8,21.4,1325.25,1325.25,1319.2,1319.2,1217.5,1191.4
"71","8/1/2022",79.9,67.8,23.85,1349.1,1349.1,1343.05,1343.05,1241.35,1215.25
"72","8/2/2022",88,57.9,21.95,1371.05,1371.05,1365,1365,1263.3,1237.2
"73","8/3/2022",84,74.1,29.05,1400.1,1400.1,1394.05,1394.05,1292.35,1266.25
"74","8/4/2022",81.1,60.1,20.6,1420.7,1420.7,1414.65,1414.65,1312.95,1286.85
"75","8/5/2022",84.9,56.8,20.85,1441.55,1441.55,1435.5,1435.5,1333.8,1307.7
"76","8/6/2022",91,70,28,1469.55,1469.55,1463.5,1463.5,1361.8,1335.7
"77","8/7/2022",81.1,72.1,26.6,1496.15,1496.15,1490.1,1490.1,1388.4,1362.3
"78","8/8/2022",72.1,69.1,20.6,1516.75,1516.75,1510.7,1510.7,1409,1382.9
"79","8/9/2022",75.9,55.9,15.9,1532.65,1532.65,1526.6,1526.6,1424.9,1398.8
"80","8/10/2022",83.1,56.8,19.95,1552.6,1552.6,1546.55,1546.55,1444.85,1418.75
"81","8/11/2022",75.9,60.1,18,1570.6,1570.6,1564.55,1564.55,1462.85,1436.75
"82","8/12/2022",67.8,51.1,9.45,1580.05,1580.05,1574,1574,1472.3,1446.2
"83","8/13/2022",79,58.8,18.9,1598.95,1598.95,1592.9,1592.9,1491.2,1465.1
"84","8/14/2022",72.1,61.9,17,1615.95,1615.95,1609.9,1609.9,1508.2,1482.1
"85","8/15/2022",75.9,56.8,16.35,1632.3,1632.3,1626.25,1626.25,1524.55,1498.45
"86","8/16/2022",78.1,55.9,17,1649.3,1649.3,1643.25,1643.25,1541.55,1515.45
"87","8/17/2022",79.9,55,17.45,1666.75,1666.75,1660.7,1660.7,1559,1532.9
"88","8/18/2022",79.9,57.9,18.9,1685.65,1685.65,1679.6,1679.6,1577.9,1551.8
"89","8/19/2022",79.9,61,20.45,1706.1,1706.1,1700.05,1700.05,1598.35,1572.25
"90","8/20/2022",73,61.9,17.45,1723.55,1723.55,1717.5,1717.5,1615.8,1589.7
"91","8/21/2022",75.9,61,18.45,1742,1742,1735.95,1735.95,1634.25,1608.15
"92","8/22/2022",79.9,56.8,18.35,1760.35,1760.35,1754.3,1754.3,1652.6,1626.5
"93","8/23/2022",81.1,57.9,19.5,1779.85,1779.85,1773.8,1773.8,1672.1,1646
"94","8/24/2022",82,57.9,19.95,1799.8,1799.8,1793.75,1793.75,1692.05,1665.95
"95","8/25/2022",78.1,64,21.05,1820.85,1820.85,1814.8,1814.8,1713.1,1687
"96","8/26/2022",76.8,57.9,17.35,1838.2,1838.2,1832.15,1832.15,1730.45,1704.35
"97","8/27/2022",79.9,55,17.45,1855.65,1855.65,1849.6,1849.6,1747.9,1721.8
"98","8/28/2022",79,65.1,22.05,1877.7,1877.7,1871.65,1871.65,1769.95,1743.85
"99","8/29/2022",83.1,67.8,25.45,1903.15,1903.15,1897.1,1897.1,1795.4,1769.3
"100","8/30/2022",76.8,58.8,17.8,1920.95,1920.95,1914.9,1914.9,1813.2,1787.1
"101","8/31/2022",83.1,57.9,20.5,1941.45,1941.45,1935.4,1935.4,1833.7,1807.6
"102","9/1/2022",85.8,57.9,21.85,1963.3,1963.3,1957.25,1957.25,1855.55,1829.45
"103","9/2/2022",81.8,65.2,23.5,1986.8,1986.8,1980.75,1980.75,1879.05,1852.95
"104","9/3/2022",73,66,19.5,2006.3,2006.3,2000.25,2000.25,1898.55,1872.45
"105","9/4/2022",69.1,53.1,11.1,2017.4,2017.4,2011.35,2011.35,1909.65,1883.55
"106","9/5/2022",74.1,55,14.55,2031.95,2031.95,2025.9,2025.9,1924.2,1898.1
"107","9/6/2022",75,55,15,2046.95,2046.95,2040.9,2040.9,1939.2,1913.1
"108","9/7/2022",79.9,55,17.45,2064.4,2064.4,2058.35,2058.35,1956.65,1930.55
"109","9/8/2022",82,61,21.5,2085.9,2085.9,2079.85,2079.85,1978.15,1952.05
"110","9/9/2022",83.1,58.8,20.95,2106.85,2106.85,2100.8,2100.8,1999.1,1973
"111","9/10/2022",72.1,58.8,15.45,2122.3,2122.3,2116.25,2116.25,2014.55,1988.45
"112","9/11/2022",58.8,55,6.9,2129.2,2129.2,2123.15,2123.15,2021.45,1995.35
"113","9/12/2022",60.1,53.1,6.6,2135.8,2135.8,2129.75,2129.75,2028.05,2001.95
"114","9/13/2022",75,48.9,12.5,2148.3,2148.3,2142.25,2142.25,2040.55,2014.45
"115","9/14/2022",74.1,52.2,13.15,2161.45,2161.45,2155.4,2155.4,2053.7,2027.6
"116","9/15/2022",79,54.1,16.55,2178,2178,2171.95,2171.95,2070.25,2044.15
"117","9/16/2022",79.9,60.1,20,2198,2198,2191.95,2191.95,2090.25,2064.15
"118","9/17/2022",79.9,63.1,21.5,2219.5,2219.5,2213.45,2213.45,2111.75,2085.65
"119","9/18/2022",78.1,64,21.05,2240.55,2240.55,2234.5,2234.5,2132.8,2106.7
"120","9/19/2022",75.9,56.8,16.35,2256.9,2256.9,2250.85,2250.85,2149.15,2123.05
"121","9/20/2022",84.9,57.9,21.4,2278.3,2278.3,2272.25,2272.25,2170.55,2144.45
"122","9/21/2022",70,66,18,2296.3,2296.3,2290.25,2290.25,2188.55,2162.45
"123","9/22/2022",60.1,44.1,5.05,2301.35,2301.35,2295.3,2295.3,2193.6,2167.5
"124","9/23/2022",61,40.1,5.5,2306.85,2306.85,2300.8,2300.8,2199.1,2173
"125","9/24/2022",63.1,51.1,7.1,2313.95,2313.95,2307.9,2307.9,2206.2,2180.1
"126","9/25/2022",66,54.1,10.05,2324,2324,2317.95,2317.95,2216.25,2190.15
"127","9/26/2022",56.8,45.1,3.4,2327.4,2327.4,2321.35,2321.35,2219.65,2193.55
"128","9/27/2022",54.1,40.1,2.05,2329.45,2329.45,2323.4,2323.4,2221.7,2195.6
"129","9/28/2022",55.9,34.9,2.95,2332.4,2332.4,2326.35,2326.35,2224.65,2198.55
"130","9/29/2022",61.9,31.8,5.95,2338.35,2338.35,2332.3,2332.3,2230.6,2204.5
"131","9/30/2022",66,38.1,8,2346.35,2346.35,2340.3,2340.3,2238.6,2212.5
"132","10/1/2022",67.8,40.1,8.9,2355.25,2355.25,2349.2,2349.2,2247.5,2221.4
